Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,107.629997,108.019997,106.809998,107.949997,104.682083,13578800
2018-01-03,107.860001,108.489998,107.480003,108.059998,104.788765,11901000
2018-01-04,108.360001,110.029999,108.199997,109.040001,106.289917,12953700
2018-01-05,109.260002,109.550003,107.779999,108.339996,105.607567,14155000
2018-01-08,108.150002,108.680000,107.699997,108.500000,105.763535,12466500
2018-01-09,108.720001,109.629997,108.489998,109.050003,106.299675,13292300
2018-01-10,109.470001,110.699997,109.389999,110.250000,107.469406,15834500
2018-01-11,110.669998,110.930000,110.050003,110.839996,108.044518,13676800
2018-01-12,111.650002,112.849998,110.839996,112.669998,109.828362,18884200
2018-01-16,111.510002,113.430000,111.070000,112.269997,109.438454,22703300
2018-01-17,111.889999,113.300003,111.309998,112.989998,110.140289,14906600
2018-01-18,112.760002,113.720001,112.269997,113.260002,110.403488,14572900
2018-01-19,113.940002,114.339996,112.800003,113.010002,110.159790,18785500
2018-01-22,112.660004,114.389999,112.500000,114.330002,111.446510,12475700
2018-01-23,113.669998,114.639999,113.349998,114.209999,111.329521,12320800
2018-01-24,114.860001,116.000000,114.660004,115.669998,112.752701,15904500
2018-01-25,116.040001,116.169998,115.080002,115.699997,112.781944,13510000
2018-01-26,115.699997,116.320000,114.959999,116.320000,113.386299,13883900
2018-01-29,116.019997,117.349998,116.019997,116.199997,113.269341,11679900
2018-01-30,115.529999,116.599998,114.980003,115.110001,112.206833,14279100
2018-01-31,115.650002,116.660004,115.160004,115.669998,112.752701,13141400
2018-02-01,115.769997,116.989998,115.480003,116.870003,113.922440,13800600
2018-02-02,116.489998,116.919998,114.089996,114.279999,111.397758,16477300
2018-02-05,113.000000,114.589996,103.980003,108.800003,106.055977,30097600
2018-02-06,106.849998,112.480003,106.610001,112.110001,109.282494,33114800
2018-02-07,111.550003,114.449997,111.150002,112.870003,110.023323,21878300
2018-02-08,113.110001,113.110001,107.839996,107.879997,105.159172,27425800
2018-02-09,109.099998,111.050003,106.230003,110.040001,107.264694,28188000
2018-02-12,111.169998,112.730003,110.070000,111.739998,108.921822,18043300
2018-02-13,111.320000,113.050003,110.800003,112.430000,109.594421,16358200
2018-02-14,112.629997,115.269997,112.529999,115.029999,112.128845,15186900
2018-02-15,115.739998,115.989998,114.220001,115.510002,112.596741,12130200
2018-02-16,114.550003,116.070000,114.500000,114.680000,111.787674,13214300
2018-02-20,114.650002,115.389999,113.970001,114.709999,111.816917,13461500
2018-02-21,115.000000,117.449997,114.669998,115.190002,112.284813,14212500
2018-02-22,115.500000,116.430000,114.760002,114.980003,112.080109,17070400
2018-02-23,115.309998,117.389999,115.309998,117.309998,114.351341,12162500
2018-02-26,118.139999,118.900002,117.320000,118.769997,115.774521,16511200
2018-02-27,118.910004,119.330002,117.349998,117.360001,114.400078,17563300
2018-02-28,117.820000,118.489998,115.339996,115.500000,112.586990,17735600
2018-03-01,115.480003,116.639999,112.650002,113.430000,110.569199,18690000
2018-03-02,112.389999,113.559998,111.120003,113.320000,110.461975,18353700
2018-03-05,112.050003,115.930000,111.889999,115.059998,112.158089,13933000
2018-03-06,115.639999,115.820000,114.320000,115.160004,112.255562,10674400
2018-03-07,113.750000,115.099998,113.110001,114.730003,111.836418,13006500
2018-03-08,115.110001,115.230003,113.209999,114.739998,111.846161,11173700
2018-03-09,116.550003,118.080002,115.669998,118.040001,115.062927,15366600
2018-03-12,118.000000,118.750000,117.250000,117.660004,114.692520,12339300
2018-03-13,118.199997,118.470001,115.830002,116.250000,113.318069,13312300
2018-03-14,116.559998,116.589996,114.599998,114.949997,112.050858,12905100
2018-03-15,115.870003,116.000000,114.830002,115.239998,112.333549,8748000
2018-03-16,115.339996,116.599998,115.339996,115.440002,112.528511,19888900
2018-03-19,115.099998,115.449997,113.300003,114.529999,111.641449,13214900
2018-03-20,114.870003,115.449997,114.449997,114.639999,111.748680,9921200
2018-03-21,114.809998,116.629997,114.209999,114.739998,111.846161,13633000
2018-03-22,113.199997,113.599998,109.540001,109.949997,107.176964,22550400
2018-03-23,110.269997,110.919998,106.760002,107.010002,104.311119,23081500
2018-03-26,109.190002,111.160004,108.650002,110.309998,107.527893,20217500
2018-03-27,111.070000,111.690002,107.300003,108.169998,105.441856,18039900
2018-03-28,108.279999,109.169998,106.650002,108.000000,105.276146,19189300
2018-03-29,108.500000,110.779999,107.779999,109.970001,107.196465,13274600
2018-04-02,109.959999,110.730003,106.080002,107.849998,105.129936,18822500
2018-04-03,108.360001,109.500000,107.260002,109.330002,106.572601,14050700
2018-04-04,107.099998,111.209999,107.019997,110.989998,108.190735,15302600
2018-04-05,111.629997,112.830002,111.389999,111.879997,109.611320,16627000
2018-04-06,110.550003,111.550003,107.820000,109.089996,106.877899,18906000
2018-04-09,110.010002,112.980003,109.889999,110.400002,108.161339,15974300
2018-04-10,112.129997,112.870003,111.419998,112.510002,110.228561,13951400
2018-04-11,111.660004,111.809998,110.519997,110.620003,108.376884,14503300
2018-04-12,111.559998,114.389999,111.500000,113.370003,111.071114,16435500
2018-04-13,115.019997,115.150002,109.050003,110.300003,108.063377,39152800
2018-04-16,110.940002,111.470001,109.790001,110.209999,107.975197,16580500
2018-04-17,111.370003,111.919998,109.989998,110.209999,107.975197,15501400
2018-04-18,110.529999,111.070000,108.889999,109.320000,107.103233,16081400
2018-04-19,109.529999,111.870003,109.500000,111.720001,109.454575,17911000
2018-04-20,112.300003,112.739998,110.879997,111.470001,109.209641,15584400
2018-04-23,111.570000,111.949997,110.629997,110.930000,108.680603,11285800
2018-04-24,111.750000,112.900002,109.589996,110.410004,108.171143,16453100
2018-04-25,110.269997,110.529999,108.599998,109.989998,107.759659,13548200
2018-04-26,109.970001,110.820000,109.339996,110.099998,107.867424,10299500
2018-04-27,109.550003,110.160004,109.129997,109.400002,107.181618,9384000
2018-04-30,109.750000,110.300003,108.750000,108.779999,106.574196,13744900
2018-05-01,108.449997,108.970001,107.540001,108.779999,106.574196,10503400
2018-05-02,108.110001,109.489998,107.730003,107.919998,105.731628,12162100
2018-05-03,107.589996,107.769997,105.180000,107.239998,105.065422,15379100
2018-05-04,106.430000,108.739998,105.980003,108.430000,106.231293,11967900
2018-05-07,108.760002,109.680000,108.360001,109.370003,107.152229,9356700
2018-05-08,109.529999,111.339996,109.279999,110.989998,108.739380,12543200
2018-05-09,111.440002,113.639999,111.029999,113.410004,111.110306,11368100
2018-05-10,113.190002,114.440002,112.750000,114.290001,111.972466,9159700
2018-05-11,114.489998,114.730003,113.669998,113.860001,111.551186,10253000
2018-05-14,114.110001,114.699997,113.739998,113.900002,111.590378,8710700
2018-05-15,113.910004,113.910004,112.570000,113.029999,110.738007,11536200
